cluster,,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi,cluster8,cluster9
6,0.75,14.1,145.0,114.0,139.0,1796.0,1078.0,5006.0,269.0,-36.7,698.0,36.2,127.0,1117.0,13.3,5.2,-9.6,495.0,19.2,158.0,374.0,63.0,42.1,29.8,-1.7,11.533333333333333,2.3,-13.666666666666666,10.266666666666667,24.333333333333332,12.799999999999999,-2.5333333333333337,4.133333333333334,17.799999999999997,7.333333333333333,-8.266666666666666,260.0,311.0,297.0,283.0,3.0,6.0
6,1.0,17.8,152.0,183.0,246.0,2147.0,1246.0,5282.0,276.0,-33.5,765.0,37.2,144.0,1257.0,14.5,6.8,-6.9,609.0,20.8,176.0,431.0,69.0,45.7,31.8,0.20000000000000018,13.666666666666666,3.766666666666666,-10.766666666666666,12.966666666666667,25.8,14.399999999999999,-0.6333333333333334,6.033333333333334,19.46666666666667,8.733333333333333,-5.8,312.0,390.0,358.0,338.0,7.0,6.0
7,0.0,5.3,146.0,0.0,5.0,618.0,1019.0,5171.0,243.0,-43.7,348.0,28.2,72.0,891.0,11.3,-2.6,-17.5,386.0,12.4,94.0,313.0,55.0,20.1,26.6,-8.533333333333333,6.133333333333333,-3.9666666666666663,-20.400000000000002,-0.36666666666666653,15.166666666666666,2.8333333333333335,-11.633333333333335,-4.5,10.700000000000001,-0.6,-16.066666666666666,189.0,233.0,222.0,192.0,0.0,7.0
7,0.25,10.6,152.0,8.0,29.0,1137.0,1308.0,5708.0,257.0,-40.3,450.0,31.4,101.0,1027.0,13.1,1.6,-13.7,458.0,15.7,126.0,424.0,63.0,32.575,28.1,-4.933333333333333,8.666666666666666,-0.5666666666666668,-17.099999999999998,4.2,19.0,7.866666666666667,-7.2,-0.06666666666666672,14.199999999999998,3.7999999999999994,-12.133333333333335,222.0,284.0,271.0,237.0,0.0,7.0
7,0.5,11.2,154.0,21.0,35.0,1206.0,1432.0,5865.0,259.0,-39.3,505.0,32.3,104.0,1064.0,13.3,1.9,-13.1,479.0,16.1,129.0,448.5,67.0,34.0,28.9,-4.466666666666667,9.200000000000001,-0.06666666666666672,-16.099999999999998,5.133333333333333,19.966666666666665,8.466666666666667,-6.833333333333333,0.4666666666666665,14.6,4.133333333333334,-11.6,239.0,297.0,281.0,247.0,0.0,7.0
7,0.75,11.8,156.0,41.0,41.0,1263.0,1500.0,5981.0,262.0,-37.7,540.0,32.9,110.0,1127.0,13.5,2.3,-11.9,495.0,16.5,133.0,493.0,69.0,35.4,29.7,-3.8000000000000003,9.833333333333334,0.7666666666666666,-14.6,5.833333333333333,20.666666666666668,8.833333333333334,-6.2,0.7333333333333334,14.966666666666667,4.666666666666667,-10.433333333333334,259.0,308.0,297.0,267.0,0.0,7.0
7,1.0,14.7,171.0,101.0,73.0,1478.0,2263.0,7486.0,269.0,-35.4,615.0,34.1,123.0,1385.0,14.8,3.9,-9.8,615.0,17.7,151.0,832.0,71.0,42.5,31.2,-2.3666666666666667,11.200000000000001,2.433333333333333,-12.433333333333332,7.066666666666667,21.666666666666668,10.666666666666666,-4.066666666666667,1.9666666666666666,16.166666666666668,6.5,-8.299999999999999,317.0,376.0,378.0,313.0,0.0,7.0
8,0.0,10.8,134.0,35.0,63.0,1464.0,486.0,4046.0,264.0,-36.5,556.0,32.3,115.0,1073.0,12.6,4.1,-9.2,403.0,16.9,141.0,182.0,61.0,31.7,22.0,-2.866666666666667,10.0,1.5,-13.299999999999999,6.666666666666667,20.833333333333332,10.933333333333335,-3.1666666666666665,2.233333333333333,15.6,6.233333333333333,-8.066666666666666,240.0,229.0,277.0,262.0,1.0,8.0
8,0.25,12.5,140.0,68.0,95.0,1680.0,681.0,4453.0,272.0,-33.8,606.0,33.8,129.0,1132.0,13.2,5.5,-7.4,432.0,18.0,163.0,309.0,65.0,38.8,24.6,-1.4000000000000001,10.966666666666667,3.266666666666667,-10.966666666666667,7.900000000000001,22.03333333333333,12.299999999999999,-1.8,3.1333333333333333,16.633333333333333,7.933333333333334,-6.3,262.0,257.0,305.0,310.0,7.0,8.0
8,0.5,13.2,142.0,79.0,107.0,1718.0,729.0,4552.0,274.0,-33.1,621.0,34.1,132.0,1198.0,13.4,5.7,-6.8,452.0,18.3,168.0,331.0,66.0,40.7,25.1,-1.1666666666666667,11.233333333333334,3.6333333333333333,-10.366666666666665,8.533333333333333,22.399999999999995,12.766666666666666,-1.3,3.6333333333333333,16.933333333333334,8.266666666666666,-5.8,276.0,269.0,318.0,332.0,7.0,8.0
8,0.75,13.9,144.0,92.0,117.0,1748.0,781.0,4645.0,275.0,-32.3,641.0,34.3,135.0,1258.0,13.6,6.0,-6.2,467.0,18.6,172.0,360.0,67.0,42.8,25.6,-0.8333333333333336,11.700000000000001,4.033333333333333,-9.666666666666666,9.0,22.766666666666666,13.133333333333333,-0.7000000000000001,4.066666666666666,17.133333333333333,8.5,-5.3,292.0,280.0,333.0,353.0,7.0,8.0
8,1.0,15.1,151.0,158.0,197.0,2051.0,987.0,5101.0,284.0,-29.4,724.0,35.8,150.0,1456.0,14.6,7.3,-4.2,533.0,20.0,189.0,497.0,72.0,46.0,27.4,1.0999999999999999,13.433333333333332,5.8,-7.2,11.1,24.76666666666667,14.666666666666666,0.9666666666666668,5.866666666666667,18.7,9.766666666666667,-3.4,362.0,313.0,422.0,410.0,7.0,8.0
